idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
79,long,8423,2025-07-31 17:00:00,1.31891,1.31485,1.325,0.0020307142857142824,5.0,0.01,8442,2025-08-01 12:00:00,1.31485,SL,19,False,False,-0.0040599999999999525,-1.9992965177629063,-4.0599999999999525,-0.0255,0.0793,1,-4.1647999999999525,
80,long,8443,2025-08-01 13:00:00,1.31486,1.31175,1.31953,0.001557142857142876,5.0,0.01,8445,2025-08-01 15:00:00,1.31953,TP,2,False,False,0.004670000000000174,2.999082568807415,4.670000000000174,-0.0,0.0793,0,4.590700000000174,
81,long,8716,2025-08-18 22:00:00,1.35062,1.34785,1.35478,0.0013857142857142599,5.0,0.01,8739,2025-08-19 21:00:00,1.34785,SL,23,False,False,-0.002769999999999939,-1.9989690721649418,-2.769999999999939,-0.0255,0.0793,1,-2.874799999999939,
82,long,8748,2025-08-20 06:00:00,1.34673,1.34437,1.35027,0.001181428571428619,5.0,0.01,8751,2025-08-20 09:00:00,1.35027,TP,3,False,False,0.0035400000000000986,2.996372430471547,3.540000000000099,-0.0,0.0793,0,3.460700000000099,
83,long,8798,2025-08-22 08:00:00,1.33944,1.33728,1.34268,0.001080714285714292,5.0,0.01,8806,2025-08-22 16:00:00,1.34268,TP,8,False,False,0.0032400000000001317,2.998017184401955,3.240000000000132,-0.0,0.0793,0,3.160700000000132,
84,long,8876,2025-08-27 14:00:00,1.34228,1.33981,1.34598,0.0012342857142857275,5.0,0.01,8879,2025-08-27 17:00:00,1.34598,TP,3,False,False,0.0037000000000000366,2.997685185185183,3.7000000000000366,-0.0,0.0793,0,3.6207000000000367,
85,long,8923,2025-08-29 13:00:00,1.34605,1.34394,1.34922,0.0010557142857143026,5.0,0.01,8927,2025-08-29 17:00:00,1.34922,TP,4,False,False,0.003170000000000117,3.0027063599459356,3.170000000000117,-0.0,0.0793,0,3.0907000000001172,
86,long,8969,2025-09-02 11:00:00,1.34037,1.33669,1.34589,0.0018400000000000003,5.0,0.01,8973,2025-09-02 15:00:00,1.33669,SL,4,False,False,-0.0036800000000001276,-2.0000000000000693,-3.6800000000001276,-0.0,0.0793,0,-3.7593000000001275,
87,long,8989,2025-09-03 07:00:00,1.33618,1.33361,1.34004,0.001287142857142836,5.0,0.01,8992,2025-09-03 10:00:00,1.33361,SL,3,False,False,-0.002569999999999961,-1.9966703662597143,-2.569999999999961,-0.0,0.0793,0,-2.649299999999961,
88,long,9263,2025-09-18 17:00:00,1.35516,1.35026,1.36252,0.0024521428571428394,5.0,0.01,9279,2025-09-19 09:00:00,1.35026,SL,16,False,False,-0.004899999999999904,-1.9982522575007038,-4.899999999999904,-0.0255,0.0793,1,-5.004799999999904,
89,long,9280,2025-09-19 10:00:00,1.35082,1.34788,1.35522,0.0014678571428571477,5.0,0.01,9284,2025-09-19 14:00:00,1.34788,SL,4,False,False,-0.0029399999999999427,-2.002919708029151,-2.9399999999999427,-0.0,0.0793,0,-3.0192999999999426,
90,long,9292,2025-09-19 22:00:00,1.34694,1.343,1.35285,0.0019714285714285923,5.0,0.01,9315,2025-09-22 21:00:00,1.3516,SIGNAL,23,False,False,0.0046599999999998865,2.3637681159419466,4.6599999999998865,-0.0765,0.0793,3,4.504199999999886,
91,long,9355,2025-09-24 13:00:00,1.34779,1.34559,1.35109,0.0011007142857142962,5.0,0.01,9356,2025-09-24 14:00:00,1.34559,SL,1,False,False,-0.0021999999999999797,-1.9987021414665427,-2.1999999999999797,-0.0,0.0793,0,-2.2792999999999797,
