idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
64,short,35264,2026-06-29 20:43:00,4024.41,4021.87,0.0,1.51657190871686,15.0,0.01,35269,2026-06-29 20:48:00,4021.87,SL,5,False,True,2.5399999999999636,1.6748299143619274,2.5399999999999636,0.0,0.0793,0,2.4606999999999637,
65,short,35404,2026-06-29 23:03:00,4015.72,4019.55,0.0,1.2760213371807883,23.0,0.01,35462,2026-06-30 01:01:00,4019.55,SL,58,False,False,-3.830000000000382,-3.0015172069632428,-3.830000000000382,0.23399999999999999,0.0793,1,-3.675300000000382,
66,long,36569,2026-06-30 19:28:00,4028.81,4032.39,0.0,1.4675060804072588,15.0,0.01,36588,2026-06-30 19:47:00,4032.39,SL,19,False,True,3.5799999999999272,2.439512890472259,3.5799999999999272,-0.0,0.0793,0,3.5006999999999273,
67,long,36597,2026-06-30 19:56:00,4028.95,4024.6,0.0,1.4489443821440435,15.0,0.01,36602,2026-06-30 20:01:00,4024.6,SL,5,False,False,-4.349999999999909,-3.0021856281074726,-4.349999999999909,-0.0,0.0793,0,-4.429299999999909,
68,short,36763,2026-06-30 22:42:00,4022.66,4016.89,0.0,1.0175270287263936,15.0,0.01,36775,2026-06-30 22:54:00,4016.89,SL,12,False,True,5.769999999999982,5.670611037450384,5.769999999999982,0.0,0.0793,0,5.690699999999982,
69,short,36785,2026-06-30 23:04:00,4017.95,4014.53,0.0,1.4450348197059826,23.0,0.01,36807,2026-06-30 23:26:00,4014.53,SL,22,False,True,3.419999999999618,2.366724976700199,3.419999999999618,0.0,0.0793,0,3.340699999999618,
70,short,36833,2026-06-30 23:52:00,4011.25,4013.69,0.0,0.814288864348653,61.0,0.02,36843,2026-07-01 01:02:00,4013.69,SL,10,False,False,-2.4400000000000546,-2.9964796361937265,-4.880000000000109,1.404,0.1586,3,-3.634600000000109,
71,long,38036,2026-07-01 20:55:00,4070.35,4066.16,0.0,1.395213232984641,15.0,0.01,38059,2026-07-01 21:18:00,4066.16,SL,23,False,False,-4.190000000000055,-3.0031251861314447,-4.190000000000055,-0.0,0.0793,0,-4.2693000000000545,
72,long,38134,2026-07-01 22:33:00,4057.78,4053.75,0.0,1.342469484217135,15.0,0.01,38143,2026-07-01 22:42:00,4053.75,SL,9,False,False,-4.0300000000002,-3.001930432966457,-4.0300000000002,-0.0,0.0793,0,-4.1093000000002,
73,long,38150,2026-07-01 22:49:00,4052.94,4049.22,0.0,1.2392241571186333,15.0,0.01,38151,2026-07-01 22:50:00,4049.22,SL,1,False,False,-3.7200000000002547,-3.001878214390015,-3.7200000000002547,-0.0,0.0793,0,-3.7993000000002546,
74,long,38196,2026-07-01 23:35:00,4036.91,4032.82,0.0,1.3639619958409894,64.0,0.01,38206,2026-07-01 23:45:00,4032.82,SL,10,False,False,-4.089999999999691,-2.998617272673998,-4.089999999999691,-0.0,0.0793,0,-4.169299999999691,
75,long,38210,2026-07-01 23:49:00,4032.94,4037.36,0.0,1.1840263766427312,59.0,0.01,38224,2026-07-02 01:03:00,4037.36,SL,14,False,True,4.420000000000073,3.733024945384106,4.420000000000073,-0.7770999999999999,0.0793,1,3.563600000000073,
76,long,39559,2026-07-02 23:18:00,4119.89,4123.42,0.0,1.294576095466993,23.0,0.01,39562,2026-07-02 23:21:00,4123.42,SL,3,False,True,3.5299999999997453,2.7267613022982378,3.5299999999997453,-0.0,0.0793,0,3.4506999999997454,
77,long,39576,2026-07-02 23:35:00,4123.7,4120.33,0.0,1.1244609121413476,49.0,0.01,39586,2026-07-02 23:45:00,4120.33,SL,10,False,False,-3.369999999999891,-2.996991681624833,-3.369999999999891,-0.0,0.0793,0,-3.449299999999891,
78,long,39594,2026-07-02 23:53:00,4120.2,4123.16,0.0,0.8364640011203825,50.0,0.01,39599,2026-07-02 23:58:00,4123.16,SL,5,False,True,2.9600000000000364,3.5387057853480033,2.9600000000000364,-0.0,0.0793,0,2.8807000000000365,
79,long,40606,2026-07-03 17:45:00,4164.05,4166.98,0.0,1.5346229115804424,15.0,0.01,40609,2026-07-03 17:48:00,4166.98,SL,3,False,True,2.9299999999993815,1.9092638184203181,2.9299999999993815,-0.0,0.0793,0,2.8506999999993816,
80,long,40640,2026-07-03 18:19:00,4171.03,4167.01,0.0,1.3393324435687808,15.0,0.01,40650,2026-07-03 18:29:00,4167.01,SL,10,False,False,-4.019999999999527,-3.0014952742336685,-4.019999999999527,-0.0,0.0793,0,-4.099299999999527,
81,long,40653,2026-07-03 18:32:00,4166.48,4169.29,0.0,1.365592249487337,15.0,0.01,40717,2026-07-03 19:36:00,4169.29,SL,64,False,True,2.8100000000004,2.057715252159138,2.8100000000004,-0.0,0.0793,0,2.7307000000004003,
82,long,41818,2026-07-06 19:02:00,4145.02,4147.44,0.0,1.6490462782800002,15.0,0.01,41850,2026-07-06 19:34:00,4147.44,SL,32,False,True,2.4199999999991633,1.467514909601742,2.4199999999991633,-0.0,0.0793,0,2.3406999999991633,
83,long,41887,2026-07-06 20:11:00,4153.28,4158.03,0.0,1.4190226166686892,15.0,0.01,41902,2026-07-06 20:26:00,4158.03,SL,15,False,True,4.75,3.3473744140534873,4.75,-0.0,0.0793,0,4.6707,
84,long,41921,2026-07-06 20:45:00,4156.9,4160.25,0.0,1.5500306506467165,15.0,0.01,41928,2026-07-06 20:52:00,4160.25,SL,7,False,True,3.350000000000364,2.1612475847510817,3.350000000000364,-0.0,0.0793,0,3.270700000000364,
85,long,42032,2026-07-06 22:36:00,4160.81,4163.02,0.0,1.058604872044405,15.0,0.01,42046,2026-07-06 22:50:00,4163.02,SL,14,False,True,2.2100000000000364,2.0876533429626365,2.2100000000000364,-0.0,0.0793,0,2.1307000000000365,
86,long,42054,2026-07-06 22:58:00,4161.77,4165.74,0.0,1.072069672024065,15.0,0.01,42118,2026-07-07 01:02:00,4165.74,SL,64,False,True,3.969999999999345,3.703117533866987,3.969999999999345,-0.7770999999999999,0.0793,1,3.1135999999993453,
