Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
139,Exit long,2025-07-02 14:47,TSL,3341.51,1,3337.82,529.13,0.11,0,672.53,0.14,-18.64,0.00,-1419.55,-0.14,4
139,Entry long,2025-07-02 14:43,M1 scalp up,3337.82,1,3337.82,529.13,0.11,0,672.53,0.14,-18.64,0.00,-1419.55,-0.14,4
140,Exit long,2025-07-02 15:17,SL,3339.19,1,3342.11,-418.72,-0.09,0,202.19,0.04,-418.72,-0.09,-1838.26,-0.18,8
140,Entry long,2025-07-02 15:09,M1 scalp up,3342.11,1,3342.11,-418.72,-0.09,0,202.19,0.04,-418.72,-0.09,-1838.26,-0.18,8
141,Exit long,2025-07-02 15:39,TSL,3342.25,1,3340.07,312.6,0.07,0,456,0.10,-196.45,-0.04,-1525.66,-0.15,14
141,Entry long,2025-07-02 15:25,M1 scalp up,3340.07,1,3340.07,312.6,0.07,0,456,0.10,-196.45,-0.04,-1525.66,-0.15,14
142,Exit long,2025-07-02 16:10,TSL,3346.18,1,3341.25,706.94,0.15,0,850.34,0.18,-216.53,-0.05,-818.72,-0.08,29
142,Entry long,2025-07-02 15:41,M1 scalp up,3341.25,1,3341.25,706.94,0.15,0,850.34,0.18,-216.53,-0.05,-818.72,-0.08,29
143,Exit long,2025-07-02 17:09,TSL,3349.42,1,3345.92,501.89,0.10,0,645.28,0.13,-240.91,-0.05,-316.83,-0.03,42
143,Entry long,2025-07-02 16:27,M1 scalp up,3345.92,1,3345.92,501.89,0.10,0,645.28,0.13,-240.91,-0.05,-316.83,-0.03,42
144,Exit long,2025-07-02 18:13,TSL,3350.97,2,6697.94,573.58,0.06,0,716.98,0.07,-450.26,-0.05,256.75,0.03,61
144,Entry long,2025-07-02 17:12,M1 scalp up,3348.97,2,6697.94,573.58,0.06,0,716.98,0.07,-450.26,-0.05,256.75,0.03,61
145,Exit long,2025-07-02 20:42,SL,3356.65,3,10074.9,-709.81,-0.05,0,339.85,0.02,-709.81,-0.05,-453.06,-0.05,24
145,Entry long,2025-07-02 20:18,M1 scalp up,3358.3,3,10074.9,-709.81,-0.05,0,339.85,0.02,-709.81,-0.05,-453.06,-0.05,24
146,Exit long,2025-07-02 22:01,TSL,3358.63,2,6712.22,723.95,0.08,0,867.59,0.09,-74.57,-0.01,270.89,0.03,12
146,Entry long,2025-07-02 20:49,M1 scalp up,3356.11,2,6712.22,723.95,0.08,0,867.59,0.09,-74.57,-0.01,270.89,0.03,12
147,Exit short,2025-07-03 15:21,SL,3329.47,1,3325.59,-557.32,-0.12,0,40.22,0.01,-557.32,-0.12,-286.44,-0.03,13
147,Entry short,2025-07-03 15:08,M1 scalp down,3325.59,1,3325.59,-557.32,-0.12,0,40.22,0.01,-557.32,-0.12,-286.44,-0.03,13
148,Exit short,2025-07-03 15:45,TSL,3327.87,1,3330.45,370.59,0.08,0,514.23,0.11,-5.75,0.00,84.16,0.01,16
148,Entry short,2025-07-03 15:29,M1 scalp down,3330.45,1,3330.45,370.59,0.08,0,514.23,0.11,-5.75,0.00,84.16,0.01,16
149,Exit short,2025-07-03 16:17,TSL,3326.52,2,6655.7,382.08,0.04,0,623.4,0.07,-224.08,-0.02,466.24,0.05,23
149,Entry short,2025-07-03 15:54,M1 scalp down,3327.85,2,6655.7,382.08,0.04,0,623.4,0.07,-224.08,-0.02,466.24,0.05,23
150,Exit short,2025-07-03 16:32,SL,3329.59,2,6654.94,-609.03,-0.06,0,20.11,0.00,-609.03,-0.06,-142.8,-0.01,5
150,Entry short,2025-07-03 16:27,M1 scalp down,3327.47,2,6654.94,-609.03,-0.06,0,20.11,0.00,-609.03,-0.06,-142.8,-0.01,5
151,Exit short,2025-07-03 17:38,TSL,3329.79,2,6666.54,999.73,0.10,0,1238.18,0.13,-456.78,-0.05,856.94,0.09,52
151,Entry short,2025-07-03 16:46,M1 scalp down,3333.27,2,6666.54,999.73,0.10,0,1238.18,0.13,-456.78,-0.05,856.94,0.09,52
152,Exit short,2025-07-04 13:44,SL,3337.7,2,6670.64,-689.77,-0.07,0,269.53,0.03,-689.77,-0.07,167.17,0.02,8
152,Entry short,2025-07-04 13:36,M1 scalp down,3335.32,2,6670.64,-689.77,-0.07,0,269.53,0.03,-689.77,-0.07,167.17,0.02,8
153,Exit short,2025-07-06 22:00,SL,3336.04,1,3333.34,-390.14,-0.08,0,363.72,0.08,-390.14,-0.08,-222.97,-0.02,137
153,Entry short,2025-07-04 14:23,M1 scalp down,3333.34,1,3333.34,-390.14,-0.08,0,363.72,0.08,-390.14,-0.08,-222.97,-0.02,137
154,Exit short,2025-07-07 13:53,SL,3315.13,1,3310.37,-687.81,-0.14,0,160.39,0.03,-687.81,-0.14,-910.78,-0.09,9
154,Entry short,2025-07-07 13:44,M1 scalp down,3310.37,1,3310.37,-687.81,-0.14,0,160.39,0.03,-687.81,-0.14,-910.78,-0.09,9
155,Exit short,2025-07-07 14:53,SL,3320.96,1,3316.97,-576.55,-0.12,0,395.92,0.08,-576.55,-0.12,-1487.33,-0.15,41
155,Entry short,2025-07-07 14:12,M1 scalp down,3316.97,1,3316.97,-576.55,-0.12,0,395.92,0.08,-576.55,-0.12,-1487.33,-0.15,41
156,Exit short,2025-07-07 15:45,SL,3321.47,1,3318.82,-382.92,-0.08,0,212.41,0.04,-382.92,-0.08,-1870.25,-0.19,30
156,Entry short,2025-07-07 15:15,M1 scalp down,3318.82,1,3318.82,-382.92,-0.08,0,212.41,0.04,-382.92,-0.08,-1870.25,-0.19,30
157,Exit short,2025-07-07 16:20,SL,3323.48,2,6642.76,-606.89,-0.06,0,375.69,0.04,-606.89,-0.06,-2477.14,-0.25,26
157,Entry short,2025-07-07 15:54,M1 scalp down,3321.38,2,6642.76,-606.89,-0.06,0,375.69,0.04,-606.89,-0.06,-2477.14,-0.25,26
158,Exit short,2025-07-07 17:01,SL,3328.41,1,3324.29,-595.33,-0.12,0,101.15,0.02,-595.33,-0.12,-3072.47,-0.31,36
158,Entry short,2025-07-07 16:25,M1 scalp down,3324.29,1,3324.29,-595.33,-0.12,0,101.15,0.02,-595.33,-0.12,-3072.47,-0.31,36
159,Exit long,2025-07-07 17:38,TSL,3334.81,1,3332.39,349.69,0.07,0,494.18,0.10,-2.89,0.00,-2722.79,-0.27,7
159,Entry long,2025-07-07 17:31,M1 scalp up,3332.39,1,3332.39,349.69,0.07,0,494.18,0.10,-2.89,0.00,-2722.79,-0.27,7
160,Exit long,2025-07-07 18:03,SL,3330.36,1,3333.23,-414.71,-0.09,0,104.04,0.02,-414.71,-0.09,-3137.5,-0.31,20
160,Entry long,2025-07-07 17:43,M1 scalp up,3333.23,1,3333.23,-414.71,-0.09,0,104.04,0.02,-414.71,-0.09,-3137.5,-0.31,20
161,Exit long,2025-07-07 19:58,SL,3336.79,2,6677.28,-534.64,-0.06,0,367.02,0.04,-534.64,-0.06,-3672.14,-0.37,8
161,Entry long,2025-07-07 19:50,M1 scalp up,3338.64,2,6677.28,-534.64,-0.06,0,367.02,0.04,-534.64,-0.06,-3672.14,-0.37,8
162,Exit long,2025-07-07 22:02,TSL,3340.58,2,6673.5,1118.82,0.11,0,1264.88,0.13,-387.25,-0.04,-2553.32,-0.26,58
162,Entry long,2025-07-07 20:04,M1 scalp up,3336.75,2,6673.5,1118.82,0.11,0,1264.88,0.13,-387.25,-0.04,-2553.32,-0.26,58
163,Exit short,2025-07-08 13:38,TSL,3324.32,1,3325.89,229.31,0.05,0,442.56,0.09,-61.35,-0.01,-2324.01,-0.23,4
163,Entry short,2025-07-08 13:34,M1 scalp down,3325.89,1,3325.89,229.31,0.05,0,442.56,0.09,-61.35,-0.01,-2324.01,-0.23,4
164,Exit short,2025-07-08 17:01,SL,3302.14,1,3297.71,-647.05,-0.13,0,267.29,0.06,-647.05,-0.13,-2971.05,-0.30,78
164,Entry short,2025-07-08 15:43,M1 scalp down,3297.71,1,3297.71,-647.05,-0.13,0,267.29,0.06,-647.05,-0.13,-2971.05,-0.30,78
165,Exit short,2025-07-08 17:27,SL,3309.85,1,3305.88,-579.86,-0.12,0,188.42,0.04,-579.86,-0.12,-3550.91,-0.36,8
165,Entry short,2025-07-08 17:19,M1 scalp down,3305.88,1,3305.88,-579.86,-0.12,0,188.42,0.04,-579.86,-0.12,-3550.91,-0.36,8
166,Exit short,2025-07-08 19:46,SL,3305.61,3,9912.03,-701.09,-0.05,0,210.33,0.01,-701.09,-0.05,-4252,-0.43,15
166,Entry short,2025-07-08 19:31,M1 scalp down,3304.01,3,9912.03,-701.09,-0.05,0,210.33,0.01,-701.09,-0.05,-4252,-0.43,15
167,Exit short,2025-07-08 20:36,TSL,3301.78,2,6606.56,438.18,0.05,0,584.24,0.06,-122.69,-0.01,-3813.82,-0.38,26
167,Entry short,2025-07-08 20:10,M1 scalp down,3303.28,2,6606.56,438.18,0.05,0,584.24,0.06,-122.69,-0.01,-3813.82,-0.38,26
168,Exit short,2025-07-08 22:00,SL,3303.04,2,6602.68,-498.22,-0.05,0,46.74,0.00,-498.22,-0.05,-4312.04,-0.43,4
168,Entry short,2025-07-08 20:56,M1 scalp down,3301.34,2,6602.68,-498.22,-0.05,0,46.74,0.00,-498.22,-0.05,-4312.04,-0.43,4
169,Exit short,2025-07-09 13:41,TSL,3292.92,1,3298.66,841.11,0.17,0,987.65,0.20,-58.61,-0.01,-3470.93,-0.35,7
169,Entry short,2025-07-09 13:34,M1 scalp down,3298.66,1,3298.66,841.11,0.17,0,987.65,0.20,-58.61,-0.01,-3470.93,-0.35,7
170,Exit short,2025-07-09 14:34,SL,3310.3,1,3305.98,-633.03,-0.13,0,142.14,0.03,-633.03,-0.13,-4103.96,-0.41,19
170,Entry short,2025-07-09 14:15,M1 scalp down,3305.98,1,3305.98,-633.03,-0.13,0,142.14,0.03,-633.03,-0.13,-4103.96,-0.41,19
171,Exit long,2025-07-09 14:56,TSL,3311.83,1,3309.43,351.68,0.07,0,498.22,0.10,-70.34,-0.01,-3752.27,-0.38,7
171,Entry long,2025-07-09 14:49,M1 scalp up,3309.43,1,3309.43,351.68,0.07,0,498.22,0.10,-70.34,-0.01,-3752.27,-0.38,7
172,Exit long,2025-07-09 15:10,SL,3307.93,1,3310.95,-442.54,-0.09,0,19.05,0.00,-442.54,-0.09,-4194.81,-0.42,4
172,Entry long,2025-07-09 15:06,M1 scalp up,3310.95,1,3310.95,-442.54,-0.09,0,19.05,0.00,-442.54,-0.09,-4194.81,-0.42,4
173,Exit long,2025-07-09 16:14,TSL,3310.91,1,3308.81,307.72,0.06,0,454.26,0.09,-136.28,-0.03,-3887.09,-0.39,10
173,Entry long,2025-07-09 16:04,M1 scalp up,3308.81,1,3308.81,307.72,0.06,0,454.26,0.09,-136.28,-0.03,-3887.09,-0.39,10
174,Exit long,2025-07-09 16:48,TSL,3312.77,2,6622.98,375.13,0.04,0,536.32,0.06,-143.6,-0.01,-3511.96,-0.35,4
174,Entry long,2025-07-09 16:44,M1 scalp up,3311.49,2,6622.98,375.13,0.04,0,536.32,0.06,-143.6,-0.01,-3511.96,-0.35,4
175,Exit long,2025-07-09 17:04,SL,3310.16,2,6624,-539.25,-0.06,0,23.45,0.00,-539.25,-0.06,-4051.2,-0.41,5
175,Entry long,2025-07-09 16:59,M1 scalp up,3312,2,6624,-539.25,-0.06,0,23.45,0.00,-539.25,-0.06,-4051.2,-0.41,5
