campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
23,2023-03-13 00:00:00,2023-04-19 08:00:00,flat,long,159,37.333333333333336,"fast,medium,slow",3,3,0.06,0.06,533.1199999999999,1.9999999999995453,0.3925,-90.12800000000001,1.3200000000000003,440.59950000000026,137.04647894170512,3.8900671080120994,3.2149640282798964,0.0,675.7605000000003,0.0,4.9308855303567904
24,2023-05-02 16:00:00,2023-05-11 12:00:00,reversal,long,42,8.833333333333334,"fast,medium",2,2,0.04,0.04,-8.38000000000011,1.2999999999997272,0.2355,-18.864000000000004,0.24000000000000002,-28.779499999999842,113.81347436185474,-0.07362924334738273,-0.2528654903241005,-30.957000000000335,147.378999999999,-0.2719976713967688,1.294916975572041
25,2023-05-11 16:00:00,2023-06-01 12:00:00,reversal,short,90,20.833333333333332,"fast,medium",2,2,0.04,0.04,136.74000000000024,0.8999999999996362,0.314,20.174,0.7200000000000002,155.7000000000006,111.9602854388273,1.221325932352254,1.3906716956797307,-7.7106000000003405,269.4801000000025,-0.06886906343422326,2.406925803589887
26,2023-06-01 16:00:00,2023-06-02 16:00:00,flat,long,7,1.0,fast,1,1,0.02,0.02,-46.65790548882842,1.199999999999818,0.157,-0.5764,0.04,-48.59130548882823,46.65790548882836,-1.000000000000001,-1.0414377795090437,-54.70499999999811,0.19500000000152795,-1.172470118983299,0.004179356058925924
27,2023-06-05 00:00:00,2023-06-07 16:00:00,flat,short,17,2.6666666666666665,fast,1,1,0.02,0.02,-45.95238537307932,0.09999999999990905,0.0785,1.8863999999999999,0.04,-44.24448537307923,45.95238537307948,-0.9999999999999966,-0.9628332678242031,-35.01209999999992,10.267900000000736,-0.761921273852113,0.2234465070014849
28,2023-06-15 00:00:00,2023-06-16 04:00:00,flat,short,8,1.1666666666666667,"fast,medium,slow",3,3,0.06,0.06,-134.52931199319073,1.4999999999995453,0.3925,0.47159999999999996,0.02,-135.9502119931903,134.52931199319065,-1.0000000000000007,-1.0105620104566622,-146.97549999999865,20.38299999999981,-1.0925165513924429,0.1515134486158044
29,2023-06-22 16:00:00,2023-06-23 16:00:00,flat,short,7,1.0,"fast,medium,slow",3,3,0.09,0.07,-177.5723588927549,0.34999999999968173,0.27475000000000005,1.6506,0.07,-176.5465088927546,177.57235889275398,-1.000000000000005,-0.9942229184407075,-92.84414999999899,10.785250000000815,-0.522852489987323,0.06073721195827916
30,2023-06-28 08:00:00,2023-07-03 16:00:00,flat,short,21,5.333333333333333,"fast,medium,slow",3,3,0.09,0.07,-144.17483827544584,0.44999999999959084,0.31400000000000006,7.545599999999999,0.32,-137.3932382754454,170.67725741316764,-0.8447220236638443,-0.8049885518306062,-75.64839999999822,97.20584999999846,-0.4432248393637593,0.569530185059671
31,2023-07-06 12:00:00,2023-07-07 12:00:00,flat,short,7,1.0,fast,1,1,0.03,0.03,-55.460574929221366,0.14999999999986358,0.11775,0.7073999999999999,0.03,-55.02092492922123,55.460574929221394,-0.9999999999999994,-0.9920727471620833,-37.03035000000091,0.0,-0.6676878133207043,0.0
32,2023-07-11 08:00:00,2023-07-24 16:00:00,reversal,long,57,13.333333333333334,"fast,medium",2,2,0.06,0.06,90.57000000000016,1.9499999999995907,0.35324999999999995,-39.30000000000001,0.5700000000000001,48.96675000000056,110.3702358021908,0.8206016716528786,0.44365901408202474,-31.255499999997483,144.62475000000086,-0.2831877613817427,1.3103600708002665
