campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
34,2023-09-21 12:00:00,2023-10-11 04:00:00,reversal,short,83,19.666666666666668,"fast,medium,slow",3,4,0.2,0.2,1601.1200000000015,5.9399999999971,1.7270000000000003,69.11560000000001,2.77,1662.5686000000044,372.26624155166996,4.301007776924002,4.466074047085579,-60.44069999999192,1862.9294000000082,-0.16235879930467143,5.004293143087584
35,2023-10-11 08:00:00,2023-11-07 04:00:00,reversal,long,114,26.833333333333332,"fast,medium,slow",3,2,0.13,0.13,500.01,2.6399999999985084,0.785,-182.32580000000002,2.9299999999999993,314.25920000000144,176.64306182833468,2.8306234891122974,1.7790633651119845,-63.21699999998964,1295.4660000000003,-0.3578798926245131,7.3338063017666695
36,2023-11-07 08:00:00,2023-11-15 04:00:00,reversal,short,36,7.833333333333333,"fast,medium",2,2,0.1,0.1,-28.200000000000507,2.199999999999136,0.9420000000000001,16.506,0.79,-14.835999999999643,197.23604461510502,-0.14297589497412205,-0.0752195169445385,-16.099499999996624,254.43125000000873,-0.08162554684877142,1.289983534685645
37,2023-11-15 08:00:00,2023-11-20 12:00:00,flat,long,20,5.166666666666667,fast,1,1,0.05,0.05,-15.850000000000364,1.5999999999985448,0.3925,-9.563,0.3,-27.40549999999891,92.43392026288491,-0.17147384807354785,-0.2964874790775597,-69.96250000000873,92.0174999999872,-0.7568920565203037,0.9954949410160966
38,2023-11-21 12:00:00,2023-12-08 16:00:00,flat,long,80,17.166666666666668,"fast,medium,slow",3,4,0.13,0.13,130.6399999999992,2.749999999997499,0.98125,-105.32400000000001,1.53,21.584750000001677,324.41983001310047,0.4026880847410708,0.06653338668949446,-70.64999999999418,1001.2857499999955,-0.21777337099628358,3.0863888621098234
39,2023-12-11 08:00:00,2023-12-13 20:00:00,flat,short,16,2.5,"fast,medium",2,2,0.06,0.06,-209.94000000000005,0.29999999999972715,0.2355,5.659199999999999,0.12,-204.81629999999979,162.20319486045935,-1.2943024962030363,-1.262714339111506,-193.5963000000047,100.38450000000012,-1.1935418421724202,0.6188811514246634
40,2023-12-14 00:00:00,2023-12-15 20:00:00,flat,long,12,1.8333333333333333,fast,1,1,0.03,0.03,-38.25,1.5899999999999181,0.35324999999999995,-0.1572,0.09,-40.350449999999924,85.88255329054746,-0.44537567334074507,-0.4698329108065891,-40.11974999998347,28.610250000012456,-0.467146684196209,0.3331322708026824
41,2023-12-22 00:00:00,2024-01-03 08:00:00,reversal,long,38,12.333333333333334,"fast,medium",2,2,0.08,0.08,11.520000000000433,1.4000000000014552,0.471,-52.400000000000006,0.7600000000000002,-42.75100000000103,173.31459174034677,0.06646872536421661,-0.24666705538590153,-4.474000000001979,271.75,-0.025814329624967488,1.567957996330311
42,2024-01-03 12:00:00,2024-01-05 16:00:00,flat,short,14,2.1666666666666665,fast,1,1,0.04,0.04,-4.039999999999964,0.3999999999996362,0.314,-4.401599999999999,0.12,-9.155599999999598,91.81374945139844,-0.04400212412780872,-0.09971926922389887,-27.89079999999376,29.846000000005006,-0.3037758523820851,0.3250711378016859
43,2024-01-08 12:00:00,2024-01-11 12:00:00,flat,short,19,3.0,"fast,medium",2,2,0.08,0.08,-84.07999999999993,0.3999999999996362,0.314,9.431999999999999,0.24,-75.36199999999955,198.26243372766055,-0.42408437352027484,-0.38011235201278293,-156.42760000001,0.0,-0.7889926349581878,0.0
44,2024-01-11 16:00:00,2024-01-12 08:00:00,flat,short,5,0.6666666666666666,"fast,medium",2,2,0.06,0.06,-142.6800000000012,1.4999999999986358,0.5495,3.3011999999999997,0.14,-141.42829999999984,150.72321855728046,-0.9466358359762432,-0.9383312097084219,-141.74069999999483,0.0,-0.9404038830694692,0.0
45,2024-01-12 12:00:00,2024-01-16 08:00:00,flat,long,12,3.8333333333333335,fast,1,1,0.03,0.03,-44.43000000000052,1.3499999999994543,0.35324999999999995,-4.8732,0.18,-51.00644999999997,75.95184792132245,-0.5849758921734859,-0.6715629888668002,-51.61575000001176,0.0,-0.6795851768278219,0.0
46,2024-01-17 16:00:00,2024-01-19 12:00:00,flat,short,12,1.8333333333333333,"fast,medium,slow",3,3,0.12,0.12,-316.84000000000015,1.1999999999989086,0.628,5.659199999999999,0.24,-313.00879999999904,295.87605504877615,-1.0708538071719524,-1.0579051418959824,-313.08880000001227,13.688999999998487,-1.0581755253847716,0.04626599471776048
47,2024-01-29 12:00:00,2024-02-05 04:00:00,reversal,long,29,6.666666666666667,"fast,medium",2,2,0.08,0.08,-114.11999999999898,1.3999999999996362,0.471,-23.056,0.35999999999999993,-139.04699999999863,162.53893710045259,-0.7021086887597299,-0.8554688647561696,-110.88199999999779,86.43000000000757,-0.6821873083338198,0.5317495090212874
48,2024-02-05 08:00:00,2024-02-16 20:00:00,reversal,short,58,11.5,"fast,medium,slow",3,3,0.13,0.13,-80.26999999999816,1.6499999999984993,0.9812500000000001,21.7198,0.71,-61.181449999996666,275.06077489043173,-0.29182641556933403,-0.22242884331423776,-57.21079999998619,245.64095000001544,-0.20799330628940335,0.8930424561548791
49,2024-02-19 00:00:00,2024-02-23 08:00:00,flat,long,27,4.333333333333333,fast,1,1,0.05,0.05,-15.149999999999864,1.4999999999986358,0.3925,-14.541,0.25,-31.583499999998498,92.2600500435334,-0.16420975268115784,-0.3423312688980296,-32.71249999999418,46.83750000000873,-0.3545684181241893,0.50766827004655
50,2024-02-29 12:00:00,2024-03-18 00:00:00,reversal,long,70,17.5,"fast,medium,slow",3,3,0.16,0.16,1494.8599999999979,2.9399999999996,0.8634999999999999,-150.91200000000003,2.3600000000000003,1340.1444999999983,277.0112835201136,5.396386677842519,4.837869717688562,-48.638999999995576,1942.275999999998,-0.17558490535806617,7.011541101570221
51,2024-03-18 04:00:00,2024-03-20 16:00:00,reversal,short,16,2.5,fast,1,1,0.04,0.04,-158.4400000000005,0.7000000000025466,0.5495,-1.4672000000000005,0.18000000000000002,-161.15670000000304,91.91206978801816,-1.723821478130341,-1.7533790760200219,-54.18950000000768,0.0,-0.5895798030115946,0.0
52,2024-03-20 20:00:00,2024-03-22 08:00:00,flat,long,10,1.5,"fast,medium,slow",3,3,0.1,0.1,-223.90000000000146,2.7200000000020736,0.7849999999999999,1.6767999999999996,0.12,-225.72820000000354,250.46309960687623,-0.8939440594300403,-0.9012433382574269,-230.87780000000203,74.25370000000112,-0.9218036523639009,0.2964656275377443
53,2024-03-28 12:00:00,2024-04-23 00:00:00,reversal,long,100,25.5,"fast,medium,slow",3,4,0.09,0.09,917.6700000000001,2.170000000003256,0.66725,-134.144,2.0199999999999996,780.6887499999968,359.5838080637483,2.5520337106984314,2.171089833560007,0.0,1423.2787500000122,0.0,3.9581280304692927
54,2024-04-23 04:00:00,2024-04-26 04:00:00,reversal,short,19,3.0,"fast,medium",2,1,0.04,0.04,-83.01999999999953,0.2500000000009095,0.19625,4.191999999999999,0.13,-79.27425000000045,94.65531823491533,-0.8770769730440365,-0.8375044474865936,-117.09025000000838,8.353750000009313,-1.23701712892047,0.08825441777372718
55,2024-04-26 08:00:00,2024-04-30 08:00:00,flat,long,13,4.0,fast,1,1,0.02,0.02,-68.46000000000004,0.9000000000005457,0.2355,-3.2488,0.12000000000000001,-72.84430000000059,80.51469349698911,-0.8502795828510499,-0.9047329976201752,-73.88749999998254,0.0,-0.9176896388824433,0.0
56,2024-04-30 16:00:00,2024-05-09 12:00:00,flat,short,42,8.833333333333334,"fast,medium",2,2,0.04,0.04,-132.52000000000044,0.6400000000012369,0.2355,5.5543999999999984,0.21999999999999997,-127.84110000000167,149.73855362531313,-0.885009216341182,-0.8537620866827331,-133.81950000001234,30.077799999999115,-0.8936876760200675,0.20086877608863518
57,2024-05-09 20:00:00,2024-05-22 16:00:00,reversal,long,54,12.833333333333334,"fast,medium,slow",3,4,0.09,0.09,0.8299999999999272,2.2500000000027285,0.51025,-48.26039999999999,0.71,-50.19065000000279,353.49508331232283,0.002347981737744847,-0.1419840115729642,-63.23675000001094,439.53174999999464,-0.1788900411498496,1.2433885809145921
